"table_name","column_name","total_num_of_rows","num_of_null_val","num_of_distinct_val"
"all_sessions","productrefundamount","15134","15134","0"
"all_sessions","searchkeyword","15134","15134","0"
"all_sessions","itemquantity","15134","15134","0"
"all_sessions","itemrevenue","15134","15134","0"
"all_sessions","transactionrevenue","15134","15130","4"
"all_sessions","productrevenue","15134","15130","4"
"all_sessions","transactionid","15134","15125","9"
"all_sessions","ecommerceaction_option","15134","15103","3"
"all_sessions","productquantity","15134","15081","8"
"all_sessions","totaltransactionrevenue","15134","15053","72"
"all_sessions","transactions","15134","15053","1"
"all_sessions","sessionqualitydim","15134","13906","44"
"all_sessions","timeonsite","15134","3300","1266"
"all_sessions","timeonsite_proper","15134","3300","1266"
"all_sessions","currencycode","15134","272","1"
"all_sessions","pagetitle","15134","1","268"
"all_sessions","visitid","15134","0","14556"
"all_sessions","fullvisitorid","15134","0","14223"
"all_sessions","time_proper","15134","0","9600"
"all_sessions","time","15134","0","9600"
"all_sessions","productsku","15134","0","536"
"all_sessions","v2productname","15134","0","471"
"all_sessions","date","15134","0","366"
"all_sessions","city","15134","0","266"
"all_sessions","productprice","15134","0","141"
"all_sessions","country","15134","0","136"
"all_sessions","v2productcategory","15134","0","74"
"all_sessions","pageviews","15134","0","29"
"all_sessions","productvariant","15134","0","11"
"all_sessions","pagepathlevel1","15134","0","11"
"all_sessions","channelgrouping","15134","0","7"
"all_sessions","ecommerceaction_type","15134","0","7"
"all_sessions","ecommerceaction_step","15134","0","3"
"all_sessions","type","15134","0","2"
"analytics","userid","4301122","4301122","0"
"analytics","revenue","4301122","4285767","5269"
"analytics","units_sold","4301122","4205975","134"
"analytics","bounces","4301122","3826283","1"
"analytics","timeonsite_proper","4301122","477465","3269"
"analytics","timeonsite","4301122","477465","3269"
"analytics","pageviews","4301122","72","128"
"analytics","visitstarttime_proper","4301122","0","148853"
"analytics","visitstarttime","4301122","0","148853"
"analytics","visitid","4301122","0","148642"
"analytics","fullvisitorid","4301122","0","120018"
"analytics","unit_price","4301122","0","1442"
"analytics","visitnumber","4301122","0","222"
"analytics","date","4301122","0","93"
"analytics","channelgrouping","4301122","0","8"
"analytics","socialengagementtype","4301122","0","1"
"products","sentimentmagnitude","1092","1","20"
"products","sentimentscore","1092","1","17"
"products","sku","1092","0","1092"
"products","name","1092","0","313"
"products","stocklevel","1092","0","262"
"products","orderedquantity","1092","0","224"
"products","restockingleadtime","1092","0","27"
"sales_by_sku","productsku","462","0","462"
"sales_by_sku","total_ordered","462","0","60"
"sales_report","ratio","454","78","243"
"sales_report","productsku","454","0","454"
"sales_report","name","454","0","237"
"sales_report","stocklevel","454","0","219"
"sales_report","total_ordered","454","0","60"
"sales_report","restockingleadtime","454","0","26"
"sales_report","sentimentmagnitude","454","0","20"
"sales_report","sentimentscore","454","0","16"
